Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
AetherNet S1 — Trabajo,08/14/2026,8:10 PM,08/14/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/15/2026,11:20 AM,08/15/2026,2:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/15/2026,5:20 PM,08/15/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/16/2026,10:00 AM,08/16/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/17/2026,10:00 AM,08/17/2026,6:30 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/17/2026,8:10 PM,08/17/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/18/2026,10:00 AM,08/18/2026,6:30 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/18/2026,8:10 PM,08/18/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/19/2026,10:00 AM,08/19/2026,6:30 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/19/2026,10:10 PM,08/19/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/20/2026,10:00 AM,08/20/2026,6:30 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/20/2026,8:10 PM,08/20/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/21/2026,10:00 AM,08/21/2026,6:30 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/21/2026,8:10 PM,08/21/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/22/2026,11:20 AM,08/22/2026,2:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/22/2026,5:20 PM,08/22/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/23/2026,10:00 AM,08/23/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/24/2026,10:00 AM,08/24/2026,6:30 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/24/2026,8:10 PM,08/24/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/25/2026,10:00 AM,08/25/2026,6:30 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/25/2026,8:10 PM,08/25/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/26/2026,10:00 AM,08/26/2026,6:30 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/26/2026,10:10 PM,08/26/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/27/2026,10:00 AM,08/27/2026,6:30 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/27/2026,8:10 PM,08/27/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/28/2026,10:00 AM,08/28/2026,6:30 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/28/2026,8:10 PM,08/28/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/29/2026,11:20 AM,08/29/2026,2:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/29/2026,5:20 PM,08/29/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/30/2026,10:00 AM,08/30/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/31/2026,10:00 AM,08/31/2026,6:30 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,08/31/2026,8:10 PM,08/31/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/01/2026,10:00 AM,09/01/2026,6:30 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/01/2026,8:10 PM,09/01/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/02/2026,10:00 AM,09/02/2026,6:30 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/02/2026,10:10 PM,09/02/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/03/2026,10:00 AM,09/03/2026,6:30 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/03/2026,8:10 PM,09/03/2026,11:00 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
AetherNet S2 — Trabajo,09/04/2026,10:00 AM,09/04/2026,6:30 PM,FALSE,"AetherNet — Sprint 2: Domótica & Acceso | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)",Laboratorio UTP,FALSE
